533_131556_000000_000000	CHAPTER XXXIV	CHAPTER thirty four	false	0.63	20.32	20
533_131556_000001_000000	Evening.--Breakfast passed well over: I was calm and cool throughout.	Evening.--Breakfast passed well over: I was calm and cool throughout.	true	22.4	27.87	18.316463
533_131556_000001_000001	I answered composedly all inquiries respecting my health; and whatever was unusual in my look or manner was generally attributed to the trifling indisposition that had occasioned my early retirement last night.	I answered composedly all inquiries respecting my health; and whatever was unusual in my look or manner was generally attributed to the trifling indisposition that had occasioned my early retirement last night.	false	27.87	40.9	15
533_131556_000001_000002	But how am I to get over the ten or twelve days that must yet elapse before they go?	But how am I to get over the ten or twelve days that must yet elapse before they go?	false	41.33	46.96	15
533_131556_000001_000003	Yet why so long for their departure?	Yet why so long for their departure?	true	47.54	50.5	19.532743
533_131556_000001_000004	When they are gone, how shall I get through the months or years of my future life in company with that man--my greatest enemy? for none could injure me as he has done. Oh! when I think how fondly, how foolishly I have loved him, how madly I have trusted him, how constantly I have laboured, and studied, and prayed, and struggled for his advantage; and how cruelly he has trampled on my love, betrayed my trust, scorned my prayers and tears, and efforts for his preservation, crushed my hopes, destroyed my youth's best feelings, and doomed me to a life of hopeless misery, as far as man can do it, it is not enough to say that I no longer love my husband--I HATE him!	When they are gone, how shall I get through the months or years of my future life in company with that man-my greatest enemy? for none could injure me as he has done. Oh! when I think how fondly, how foolishly I have loved him, how madly I have trusted him, how constantly I have laboured, and studied, and prayed, and struggled for his advantage; and how cruelly he has trampled on my love, betrayed my trust, scorned my prayers and tears, and efforts for his preservation, crushed my hopes, destroyed my youth's best feelings, and doomed me to a life of hopeless misery, as far as man can do it, it is not enough to say that I no longer love my husband-I HATE him!	false	51.23	96.19	17
533_131556_000001_000005	The word stares me in the face like a guilty confession, but it is true: I hate him--I hate him!	The word stares me in the face like a guilty confession, but it is true: I hate him-I hate him!	true	96.71	104.14	17
533_131556_000001_000006	But God have mercy on his miserable soul! and make him see and feel his guilt--I ask no other vengeance!	But God have mercy on his miserable soul! and make him see and feel his guilt-I ask no other vengeance!	true	104.63	111.67	16
533_131556_000001_000007	If he could but fully know and truly feel my wrongs I should be well avenged, and I could freely pardon all; but he is so lost, so hardened in his heartless depravity, that in this life I believe he never will.	If he could but fully know and truly feel my wrongs I should be well avenged, and I could freely pardon all; but he is so lost, so hardened in his heartless depravity, that in this life I believe he never will.	false	111.92	126.4	16
533_131556_000001_000008	But it is useless dwelling on this theme: let me seek once more to dissipate reflection in the minor details of passing events.	But it is useless dwelling on this theme: let me seek once more to dissipate reflection in the minor details of passing events.	false	126.83	134.29	17
533_131556_000002_000000	Mr. Hargrave has annoyed me all day long with his serious, sympathising, and (as he thinks) unobtrusive politeness.	mr Hargrave has annoyed me all day long with his serious, sympathising, and (as he thinks) unobtrusive politeness.	false	135.32	144.19	18
533_131556_000002_000001	If it were more obtrusive it would trouble me less, for then I could snub him; but, as it is, he contrives to appear so really kind and thoughtful that I cannot do so without rudeness and seeming ingratitude.	If it were more obtrusive it would trouble me less, for then I could snub him; but, as it is, he contrives to appear so really kind and thoughtful that I cannot do so without rudeness and seeming ingratitude.	false	144.32	157.39	16
533_131556_000002_000002	I sometimes think I ought to give him credit for the good feeling he simulates so well; and then again, I think it is my duty to suspect him under the peculiar circumstances in which I am placed.	I sometimes think I ought to give him credit for the good feeling he simulates so well; and then again, I think it is my duty to suspect him under the peculiar circumstances in which I am placed.	true	157.49	169.15	19
533_131556_000002_000003	His kindness may not all be feigned; but still, let not the purest impulse of gratitude to him induce me to forget myself: let me remember the game of chess, the expressions he used on the occasion, and those indescribable looks of his, that so justly roused my indignation, and I think I shall be safe enough.	His kindness may not all be feigned; but still, let not the purest impulse of gratitude to him induce me to forget myself: let me remember the game of chess, the expressions he used on the occasion, and those indescribable looks of his, that so justly roused my indignation, and I think I shall be safe enough.	false	169.73	189.7	17
533_131556_000002_000004	I have done well to record them so minutely.	I have done well to record them so minutely.	true	189.8	192.22	16
533_131556_000003_000000	I think he wishes to find an opportunity of speaking to me alone: he has seemed to be on the watch all day; but I have taken care to disappoint him--not that I fear anything he could say, but I have trouble enough without the addition of his insulting consolations, condolences, or whatever else he might attempt; and, for Milicent's sake, I do not wish to quarrel with him.	I think he wishes to find an opportunity of speaking to me alone: he has seemed to be on the watch all day; but I have taken care to disappoint him-not that I fear anything he could say, but I have trouble enough without the addition of his insulting consolations, condolences, or whatever else he might attempt; and, for Milicent's sake, I do not wish to quarrel with him.	false	193.52	217.41	18
533_131556_000003_000001	He excused himself from going out to shoot with the other gentlemen in the morning, under the pretext of having letters to write; and instead of retiring for that purpose into the library, he sent for his desk into the morning-room, where I was seated with Milicent and Lady Lowborough.	He excused himself from going out to shoot with the other gentlemen in the morning, under the pretext of having letters to write; and instead of retiring for that purpose into the library, he sent for his desk into the morning room, where I was seated with Milicent and Lady Lowborough.	false	217.41	233.86	18
533_131556_000003_000002	They had betaken themselves to their work; I, less to divert my mind than to deprecate conversation, had provided myself with a book.	They had betaken themselves to their work; I, less to divert my mind than to deprecate conversation, had provided myself with a book.	false	234.95	244.69	18.803326
533_131556_000003_000003	Milicent saw that I wished to be quiet, and accordingly let me alone.	Milicent saw that I wished to be quiet, and accordingly let me alone.	false	244.91	248.83	14
533_131556_000003_000004	Annabella, doubtless, saw it too: but that was no reason why she should restrain her tongue, or curb her cheerful spirits: she accordingly chatted away, addressing herself almost exclusively to me, and with the utmost assurance and familiarity, growing the more animated and friendly the colder and briefer my answers became.	Annabella, doubtless, saw it too: but that was no reason why she should restrain her tongue, or curb her cheerful spirits: she accordingly chatted away, addressing herself almost exclusively to me, and with the utmost assurance and familiarity, growing the more animated and friendly the colder and briefer my answers became.	false	249.17	271.3	16
533_131556_000003_000005	Mr. Hargrave saw that I could ill endure it, and, looking up from his desk, he answered her questions and observations for me, as far as he could, and attempted to transfer her social attentions from me to himself; but it would not do.	mr Hargrave saw that I could ill endure it, and, looking up from his desk, he answered her questions and observations for me, as far as he could, and attempted to transfer her social attentions from me to himself; but it would not do.	false	271.88	287.47	17
533_131556_000003_000006	Perhaps she thought I had a headache, and could not bear to talk; at any rate, she saw that her loquacious vivacity annoyed me, as I could tell by the malicious pertinacity with which she persisted.	Perhaps she thought I had a headache, and could not bear to talk; at any rate, she saw that her loquacious vivacity annoyed me, as I could tell by the malicious pertinacity with which she persisted.	false	288.44	301.36	17
533_131556_000003_000007	But I checked it effectually by putting into her hand the book I had been trying to read, on the fly-leaf of which I had hastily scribbled,--	But I checked it effectually by putting into her hand the book I had been trying to read, on the fly leaf of which I had hastily scribbled,--	false	301.67	309.25	15
533_131556_000004_000000	'I am too well acquainted with your character and conduct to feel any real friendship for you, and as I am without your talent for dissimulation, I cannot assume the appearance of it.	'I am too well acquainted with your character and conduct to feel any real friendship for you, and as I am without your talent for dissimulation, I cannot assume the appearance of it.	true	310.13	320.7	14
533_131556_000004_000001	I must, therefore, beg that hereafter all familiar intercourse may cease between us; and if I still continue to treat you with civility, as if you were a woman worthy of consideration and respect, understand that it is out of regard for your cousin Milicent's feelings, not for yours.'	I must, therefore, beg that hereafter all familiar intercourse may cease between us; and if I still continue to treat you with civility, as if you were a woman worthy of consideration and respect, understand that it is out of regard for your cousin Milicent's feelings, not for yours.'	false	320.7	339.72	15
533_131556_000005_000000	Upon perusing this she turned scarlet, and bit her lip.	Upon perusing this she turned scarlet, and bit her lip.	false	339.72	344.86	17.473236
533_131556_000005_000001	Covertly tearing away the leaf, she crumpled it up and put it in the fire, and then employed herself in turning over the pages of the book, and, really or apparently, perusing its contents.	Covertly tearing away the leaf, she crumpled it up and put it in the fire, and then employed herself in turning over the pages of the book, and, really or apparently, perusing its contents.	false	345.08	356.68	16
533_131556_000005_000002	In a little while Milicent announced it her intention to repair to the nursery, and asked if I would accompany her.	In a little while Milicent announced it her intention to repair to the nursery, and asked if I would accompany her.	false	357.41	364.15	17
533_131556_000006_000000	'Annabella will excuse us,' said she; 'she's busy reading.'	'Annabella will excuse us,' said she; 'she's busy reading.'	true	364.7	369.4	18.494665
533_131556_000007_000000	'No, I won't,' cried Annabella, suddenly looking up, and throwing her book on the table; 'I want to speak to Helen a minute.	'No, I won't,' cried Annabella, suddenly looking up, and throwing her book on the table; 'I want to speak to Helen a minute.	false	369.68	378.19	18.672855
533_131556_000007_000001	You may go, Milicent, and she'll follow in a while.' (Milicent went.) 'Will you oblige me, Helen?' continued she.	You may go, Milicent, and she'll follow in a while.' (Milicent went.) 'Will you oblige me, Helen?' continued she.	false	378.5	387.22	17.820477
533_131556_000008_000000	Her impudence astounded me; but I complied, and followed her into the library.	Her impudence astounded me; but I complied, and followed her into the library.	true	388.04	393.33	18
533_131556_000008_000001	She closed the door, and walked up to the fire.	She closed the door, and walked up to the fire.	false	393.33	396.37	19.349005
533_131556_000009_000000	'Who told you this?' said she.	'Who told you this?' said she.	true	397.22	399.91	18.447409
533_131556_000010_000000	'No one: I am not incapable of seeing for myself.'	'No one: I am not incapable of seeing for myself.'	true	400.49	403.87	18.302786
533_131556_000011_000000	'Ah, you are suspicious!' cried she, smiling, with a gleam of hope. Hitherto there had been a kind of desperation in her hardihood; now she was evidently relieved.	'Ah, you are suspicious!' cried she, smiling, with a gleam of hope. Hitherto there had been a kind of desperation in her hardihood; now she was evidently relieved.	false	404.6	416.44	18.76401
533_131556_000012_000000	'If I were suspicious,' I replied, 'I should have discovered your infamy long before.	'If I were suspicious,' I replied, 'I should have discovered your infamy long before.	true	417.62	423.76	20
533_131556_000012_000001	No, Lady Lowborough, I do not found my charge upon suspicion.'	No, Lady Lowborough, I do not found my charge upon suspicion.'	true	423.86	428.1	18
533_131556_000013_000000	'On what do you found it, then?' said she, throwing herself into an arm-chair, and stretching out her feet to the fender, with an obvious effort to appear composed.	'On what do you found it, then?' said she, throwing herself into an arm chair, and stretching out her feet to the fender, with an obvious effort to appear composed.	false	428.1	438.93	19.457012
533_131556_000014_000000	'I enjoy a moonlight ramble as well as you,' I answered, steadily fixing my eyes upon her; 'and the shrubbery happens to be one of my favourite resorts.'	'I enjoy a moonlight ramble as well as you,' I answered, steadily fixing my eyes upon her; 'and the shrubbery happens to be one of my favourite resorts.'	false	438.93	451.33	17.282827
533_131556_000015_000000	She coloured again excessively, and remained silent, pressing her finger against her teeth, and gazing into the fire.	She coloured again excessively, and remained silent, pressing her finger against her teeth, and gazing into the fire.	true	452.45	459.4	16
533_131556_000015_000001	I watched her a few moments with a feeling of malevolent gratification; then, moving towards the door, I calmly asked if she had anything more to say.	I watched her a few moments with a feeling of malevolent gratification; then, moving towards the door, I calmly asked if she had anything more to say.	false	459.8	468.88	16
533_131556_000016_000000	'Yes, yes!' cried she eagerly, starting up from her reclining posture. 'I want to know if you will tell Lord Lowborough?'	'Yes, yes!' cried she eagerly, starting up from her reclining posture. 'I want to know if you will tell Lord Lowborough?'	false	470.15	479.41	19.884449
533_131556_000017_000000	'Suppose I do?'	'Suppose I do?'	true	480.14	481.39	16
533_131556_000018_000000	'Well, if you are disposed to publish the matter, I cannot dissuade you, of course--but there will be terrible work if you do--and if you don't, I shall think you the most generous of mortal beings--and if there is anything in the world I can do for you--anything short of--' she hesitated.	'Well, if you are disposed to publish the matter, I cannot dissuade you, of course-but there will be terrible work if you do-and if you don't, I shall think you the most generous of mortal beings-and if there is anything in the world I can do for you-anything short of-' she hesitated.	false	482.42	500.44	19.289238
533_131556_000019_000000	'Short of renouncing your guilty connection with my husband, I suppose you mean?' said I.	'Short of renouncing your guilty connection with my husband, I suppose you mean?' said i	false	501.14	506.89	17.055529
533_131556_000020_000000	She paused, in evident disconcertion and perplexity, mingled with anger she dared not show.	She paused, in evident disconcertion and perplexity, mingled with anger she dared not show.	false	507.62	514.95	18.57703
533_131556_000021_000000	'I cannot renounce what is dearer than life,' she muttered, in a low, hurried tone.	'I cannot renounce what is dearer than life,' she muttered, in a low, hurried tone.	false	514.95	520.84	18.79438
533_131556_000021_000001	Then, suddenly raising her head and fixing her gleaming eyes upon me, she continued earnestly: 'But, Helen--or Mrs. Huntingdon, or whatever you would have me call you--will you tell him?	Then, suddenly raising her head and fixing her gleaming eyes upon me, she continued earnestly: 'But, Helen-or mrs Huntingdon, or whatever you would have me call you-will you tell him?	false	521.24	534.46	19
533_131556_000021_000002	If you are generous, here is a fitting opportunity for the exercise of your magnanimity: if you are proud, here am I--your rival--ready to acknowledge myself your debtor for an act of the most noble forbearance.'	If you are generous, here is a fitting opportunity for the exercise of your magnanimity: if you are proud, here am I-your rival-ready to acknowledge myself your debtor for an act of the most noble forbearance.'	false	534.59	549.28	19
533_131556_000022_000000	'I shall not tell him.'	'I shall not tell him.'	true	550.64	551.97	19.305405
533_131556_000023_000000	'You will not!' cried she, delightedly.	'You will not!' cried she, delightedly.	false	551.97	556.24	20.8307
533_131556_000023_000001	'Accept my sincere thanks, then!'	'Accept my sincere thanks, then!'	false	556.73	559.02	19
533_131556_000024_000000	She sprang up, and offered me her hand.	She sprang up, and offered me her hand.	false	559.02	561.9	16.856655
533_131556_000024_000001	I drew back.	I drew back.	false	561.9	563.85	16.853579
533_131556_000025_000000	'Give me no thanks; it is not for your sake that I refrain.	'Give me no thanks; it is not for your sake that I refrain.	true	563.85	567.43	20
533_131556_000025_000001	Neither is it an act of any forbearance: I have no wish to publish your shame.	Neither is it an act of any forbearance: I have no wish to publish your shame.	false	567.68	573.24	19.571001
533_131556_000025_000002	I should be sorry to distress your husband with the knowledge of it.'	I should be sorry to distress your husband with the knowledge of it.'	false	573.24	577	17.757637
533_131556_000026_000000	'And Milicent? will you tell her?'	'And Milicent? will you tell her?'	false	577.7	579.82	20.988333
533_131556_000027_000000	'No: on the contrary, I shall do my utmost to conceal it from her.	'No: on the contrary, I shall do my utmost to conceal it from her.	false	580.37	584.77	17
533_131556_000027_000001	I would not for much that she should know the infamy and disgrace of her relation!'	I would not for much that she should know the infamy and disgrace of her relation!'	true	585.02	589.3	16
533_131556_000028_000000	'You use hard words, Mrs. Huntingdon, but I can pardon you.'	'You use hard words, mrs Huntingdon, but I can pardon you.'	true	590.24	593.89	18
533_131556_000029_000000	'And now, Lady Lowborough,' continued I, 'let me counsel you to leave this house as soon as possible.	'And now, Lady Lowborough,' continued I, 'let me counsel you to leave this house as soon as possible.	true	595.43	602.53	18.792034
533_131556_000029_000001	You must be aware that your continuance here is excessively disagreeable to me--not for Mr. Huntingdon's sake,' said I, observing the dawn of a malicious smile of triumph on her face--'you are welcome to him, if you like him, as far as I am concerned--but because it is painful to be always disguising my true sentiments respecting you, and straining to keep up an appearance of civility and respect towards one for whom I have not the most distant shadow of esteem; and because, if you stay, your conduct cannot possibly remain concealed much longer from the only two persons in the house who do not know it already.	You must be aware that your continuance here is excessively disagreeable to me-not for mr Huntingdon's sake,' said I, observing the dawn of a malicious smile of triumph on her face-'you are welcome to him, if you like him, as far as I am concerned-but because it is painful to be always disguising my true sentiments respecting you, and straining to keep up an appearance of civility and respect towards one for whom I have not the most distant shadow of esteem; and because, if you stay, your conduct cannot possibly remain concealed much longer from the only two persons in the house who do not know it already.	false	602.6	642.67	17
533_131556_000029_000002	And, for your husband's sake, Annabella, and even for your own, I wish--I earnestly advise and entreat you to break off this unlawful connection at once, and return to your duty while you may, before the dreadful consequences--'	And, for your husband's sake, Annabella, and even for your own, I wish-I earnestly advise and entreat you to break off this unlawful connection at once, and return to your duty while you may, before the dreadful consequences-'	false	643.13	658.3	17
533_131556_000030_000000	'Yes, yes, of course,' said she, interrupting me with a gesture of impatience.	'Yes, yes, of course,' said she, interrupting me with a gesture of impatience.	true	659.36	664.66	18.222414
533_131556_000030_000001	'But I cannot go, Helen, before the time appointed for our departure.	'But I cannot go, Helen, before the time appointed for our departure.	true	664.97	669.04	18
533_131556_000030_000002	What possible pretext could I frame for such a thing? Whether I proposed going back alone--which Lowborough would not hear of--or taking him with me, the very circumstance itself would be certain to excite suspicion--and when our visit is so nearly at an end too--little more than a week--surely you can endure my presence so long! I will not annoy you with any more of my friendly impertinences.'	What possible pretext could I frame for such a thing? Whether I proposed going back alone-which Lowborough would not hear of-or taking him with me, the very circumstance itself would be certain to excite suspicion-and when our visit is so nearly at an end too-little more than a week-surely you can endure my presence so long! I will not annoy you with any more of my friendly impertinences.'	false	669.08	724.26	18.056541
