8131_117016_000001_000000	Chapter IV	Chapter four
8131_117016_000002_000000	CAPTAIN MURDOCH	CAPTAIN MURDOCH
8131_117016_000003_000002	At one time, there had been a small dome and a tiny city devoted to the rocket field.	At one time, there had been a small dome and a tiny city devoted to the rocket field.
8131_117016_000003_000003	But Marsport had flourished enough to kill it off.	But Marsport had flourished enough to kill it off.
8131_117016_000004_000000	Bruce Gordon was trapped; he couldn't break his job with the police--if he did, he'd be brought back as a criminal.	Bruce Gordon was trapped; he couldn't break his job with the police-if he did, he'd be brought back as a criminal.
8131_117016_000004_000001	Some of Mars' laws dated from the time when law enforcement had been hampered by lack of men, rather than by the type of men.	Some of Mars' laws dated from the time when law enforcement had been hampered by lack of men, rather than by the type of men.
8131_117016_000005_000000	The Stonewall gang numbered perhaps five hundred.	The Stonewall gang numbered perhaps five hundred.
8131_117016_000005_000002	Between times, they picked up what they could by mugging and theft, with a reasonable amount of murder thrown in at a modest price.	Between times, they picked up what they could by mugging and theft, with a reasonable amount of murder thrown in at a modest price.
8131_117016_000006_000001	And police had been taken off the beats there after it grew unsafe even for men in pairs to patrol the area.	And police had been taken off the beats there after it grew unsafe even for men in pairs to patrol the area.
8131_117016_000007_000000	The shopkeepers, and some of the less unfortunate people there, had protested loud enough to reach clear back to Earth.	The shopkeepers, and some of the less unfortunate people there, had protested loud enough to reach clear back to Earth.
8131_117016_000007_000002	Captain Murdoch was an unknown factor, and now was asking for more men.	Captain Murdoch was an unknown factor, and now was asking for more men.
8131_117016_000007_000003	The pressure was enough to get them for him.	The pressure was enough to get them for him.
8131_117016_000008_000000	Gordon reported for work with a sense of the bottom falling out, mixed with a vague relief.	Gordon reported for work with a sense of the bottom falling out, mixed with a vague relief.
8131_117016_000009_000000	"You're going to be busy," Murdoch announced shortly in the dilapidated building that had been hastily converted to a precinct house.	"You're going to be busy," Murdoch announced shortly in the dilapidated building that had been hastily converted to a precinct house.
8131_117016_000009_000001	"Damn it, you're men, not sharks.	"Damn it, you're men, not sharks.
8131_117016_000009_000002	I've got a free hand, and we're going to run this the way we would on Earth.	I've got a free hand, and we're going to run this the way we would on Earth.
8131_117016_000009_000003	Your job is to protect the citizens here--and that means everyone not breaking the laws--whether you feel like it or not.	Your job is to protect the citizens here-and that means everyone not breaking the laws-whether you feel like it or not.
8131_117016_000009_000004	No graft.	No graft.
8131_117016_000009_000005	The first man making a shakedown will get the same treatment we're going to use on the Stonewall boys.	The first man making a shakedown will get the same treatment we're going to use on the Stonewall boys.
8131_117016_000009_000006	You'll get double pay here, and you can live on it!"	You'll get double pay here, and you can live on it!"
8131_117016_000010_000000	He opened up a box on his desk and pulled out six heavy wooden sticks, each thirty inches long and nearly two inches in diameter.	He opened up a box on his desk and pulled out six heavy wooden sticks, each thirty inches long and nearly two inches in diameter.
8131_117016_000010_000001	There was a shaped grip on each, with a thong of leather to hold it over the wrist.	There was a shaped grip on each, with a thong of leather to hold it over the wrist.
8131_117016_000011_000000	He picked out five of the men, including Gordon "You five will come with me.	He picked out five of the men, including Gordon "You five will come with me.
8131_117016_000011_000003	Okay, men, let's go."	Okay, men, let's go."
8131_117016_000012_000000	Bruce Gordon grinned slowly as he swung the stick, and Murdoch's eyes fell on him.	Bruce Gordon grinned slowly as he swung the stick, and Murdoch's eyes fell on him.
8131_117016_000012_000001	"Earth cop!"	"Earth cop!"
8131_117016_000013_000000	"Two years," Gordon admitted.	"Two years," Gordon admitted.
8131_117016_000014_000000	"Then you should be ashamed to be in this mess.	"Then you should be ashamed to be in this mess.
8131_117016_000014_000001	But whatever your reasons, you'll be useful.	But whatever your reasons, you'll be useful.
8131_117016_000014_000002	Take those two and give them some lessons, while I do the same with these."	Take those two and give them some lessons, while I do the same with these."
8131_117016_000015_000000	For a second, Gordon cursed himself.	For a second, Gordon cursed himself.
8131_117016_000015_000001	Murdoch had fixed it so he'd be a squad leader, and that meant he'd be unable to step out of line.	Murdoch had fixed it so he'd be a squad leader, and that meant he'd be unable to step out of line.
8131_117016_000016_000000	He began wondering about Security, then.	He began wondering about Security, then.
8131_117016_000016_000001	Nobody had tried to get in touch with him.	Nobody had tried to get in touch with him.
8131_117016_000017_000000	There was a crude lighting system here, put up by the citizens.	There was a crude lighting system here, put up by the citizens.
8131_117016_000017_000001	At the front of each building, a dim phosphor bulb glowed; when darkness fell, they would have nothing else to see by.	At the front of each building, a dim phosphor bulb glowed; when darkness fell, they would have nothing else to see by.
8131_117016_000018_000000	Murdoch bunched them together.	Murdoch bunched them together.
8131_117016_000018_000001	"A good clubbing beats hanging," he told them.	"A good clubbing beats hanging," he told them.
8131_117016_000018_000003	Go in for business, and don't stop just because the other guy quits.	Go in for business, and don't stop just because the other guy quits.
8131_117016_000019_000000	Moving in two groups of threes, at opposite sides of the street, they began their beat.	Moving in two groups of threes, at opposite sides of the street, they began their beat.
8131_117016_000019_000001	They were covering an area of six blocks one way, and two the other.	They were covering an area of six blocks one way, and two the other.
8131_117016_000020_000001	Two of the Stonewall boys were working over a tall man in a newer airsuit.	Two of the Stonewall boys were working over a tall man in a newer airsuit.
8131_117016_000020_000002	As the police swung around, one of the thugs casually ripped the airsuit open.	As the police swung around, one of the thugs casually ripped the airsuit open.
8131_117016_000021_000000	A thin screech like a whistle came from Murdoch's Marspeaker, and the captain went forward, with Gordon at his heels.	A thin screech like a whistle came from Murdoch's Marspeaker, and the captain went forward, with Gordon at his heels.
8131_117016_000021_000001	The hoodlums tossed the man aside easily, and let out a yell.	The hoodlums tossed the man aside easily, and let out a yell.
8131_117016_000021_000002	From the buildings around, an assortment of toughs came at the double, swinging knives, picks, and bludgeons.	From the buildings around, an assortment of toughs came at the double, swinging knives, picks, and bludgeons.
8131_117016_000022_000000	There was no chance to save the citizen, who was dying from lack of air. Gordon felt the solid pleasure of the finely turned club in his hands. It was light enough for speed, but heavy enough to break bones where it hit.	There was no chance to save the citizen, who was dying from lack of air. Gordon felt the solid pleasure of the finely turned club in his hands. It was light enough for speed, but heavy enough to break bones where it hit.
8131_117016_000022_000001	A skilled man could knock a knife, or even a heavy club, out of another's hand with a single flick of the wrist.	A skilled man could knock a knife, or even a heavy club, out of another's hand with a single flick of the wrist.
8131_117016_000022_000002	And he'd had practice.	And he'd had practice.
8131_117016_000023_000000	He saw Murdoch's club dart in and take out two of the gang, one on the forward swing, one on the recover.	He saw Murdoch's club dart in and take out two of the gang, one on the forward swing, one on the recover.
8131_117016_000023_000001	Gordon's eyes popped at that.	Gordon's eyes popped at that.
8131_117016_000023_000002	The man was totally unlike a Martian captain, and a knot of homesickness for Earth ran through his stomach.	The man was totally unlike a Martian captain, and a knot of homesickness for Earth ran through his stomach.
8131_117016_000024_000000	He swallowed the sentiment; his own club was moving now.	He swallowed the sentiment; his own club was moving now.
8131_117016_000024_000001	Standing beside Murdoch, they were moving forward.	Standing beside Murdoch, they were moving forward.
8131_117016_000024_000002	The other four cops had come in reluctantly.	The other four cops had come in reluctantly.
8131_117016_000025_000000	"Knock them out and kick them down!" Murdoch yelled.	"Knock them out and kick them down!" Murdoch yelled.
