filename,shape,sampling_rate,duration_sec,split,speaker_id,chapter_id,id,text,device,distance
./dataset/3_6930_81414_0023.wav,"(234480,)",48000,4.885,test.clean,6930,81414,6930_81414_0023,PERCHANCE TOO KAFFAR'S DEATH MIGHT SERVE HIM IN GOOD STEAD,3,0.3
./dataset/3_6930_75918_0018.wav,"(518880,)",48000,10.81,test.clean,6930,75918,6930_75918_0018,THE NIGHT WAS CLEAR STARLIT AND SPLENDID THE TEMPEST HAD PASSED AWAY AND THE SWEET INFLUENCES OF THE EVENING HAD RESTORED LIFE PEACE AND SECURITY EVERYWHERE,3,0.3
./dataset/3_5639_40744_0000.wav,"(756960,)",48000,15.77,test.clean,5639,40744,5639_40744_0000,ELEVEN O'CLOCK HAD STRUCK IT WAS A FINE CLEAR NIGHT THEY WERE THE ONLY PERSONS ON THE ROAD AND THEY SAUNTERED LEISURELY ALONG TO AVOID PAYING THE PRICE OF FATIGUE FOR THE RECREATION PROVIDED FOR THE TOLEDANS IN THEIR VALLEY OR ON THE BANKS OF THEIR RIVER,3,0.3
./dataset/3_5639_40744_0009.wav,"(114000,)",48000,2.375,test.clean,5639,40744,5639_40744_0009,MOTHER DEAR FATHER DO YOU HEAR ME,3,0.3
./dataset/3_6930_76324_0007.wav,"(135360,)",48000,2.82,test.clean,6930,76324,6930_76324_0007,NOW WHAT HAVE YOU TO SAY CYNTHIA SPRAGUE,3,0.3
./dataset/3_6930_76324_0006.wav,"(213840,)",48000,4.455,test.clean,6930,76324,6930_76324_0006,HERS HAPPENED TO BE IN THE SAME FRAME TOO BUT SHE EVIDENTLY DIDN'T CARE ABOUT THAT,3,0.3
./dataset/3_6930_76324_0019.wav,"(123600,)",48000,2.575,test.clean,6930,76324,6930_76324_0019,NOW LET'S DUST THE FURNITURE AND PICTURES,3,0.3
./dataset/3_260_123440_0013.wav,"(166800,)",48000,3.475,test.clean,260,123440,260_123440_0013,I AM SO VERY TIRED OF BEING ALL ALONE HERE,3,0.3
./dataset/3_1320_122617_0033.wav,"(530160,)",48000,11.045,test.clean,1320,122617,1320_122617_0033,IF HOWEVER THEY TAKE YOUR SCALP AS I TRUST AND BELIEVE THEY WILL NOT DEPEND ON IT UNCAS AND I WILL NOT FORGET THE DEED BUT REVENGE IT AS BECOMES TRUE WARRIORS AND TRUSTY FRIENDS,3,0.3
./dataset/3_5639_40744_0026.wav,"(696000,)",48000,14.5,test.clean,5639,40744,5639_40744_0026,LUIS WAS OUT OF DANGER IN A FORTNIGHT IN A MONTH HE ROSE FROM HIS BED AND DURING ALL THAT TIME HE WAS VISITED DAILY BY HIS MOTHER AND GRANDMOTHER AND TREATED BY THE MASTER AND MISTRESS OF THE HOUSE AS IF HE WAS THEIR OWN CHILD,3,0.3
./dataset/3_5639_40744_0029.wav,"(350640,)",48000,7.305,test.clean,5639,40744,5639_40744_0029,THIS TRUTH WHICH I HAVE LEARNED FROM HER LIPS IS CONFIRMED BY HIS FACE IN WHICH WE HAVE BOTH BEHELD THAT OF OUR SON,3,0.3
./dataset/3_5639_40744_0041.wav,"(825600,)",48000,17.2,test.clean,5639,40744,5639_40744_0041,NOR WAS RODOLFO LESS SURPRISED THAN THEY AND THE BETTER TO ASSURE HIMSELF OF SO WONDERFUL A FACT HE BEGGED LEOCADIA TO GIVE HIM SOME TOKEN WHICH SHOULD MAKE PERFECTLY CLEAR TO HIM THAT WHICH INDEED HE DID NOT DOUBT SINCE IT WAS AUTHENTICATED BY HIS PARENTS,3,0.3
./dataset/3_260_123440_0020.wav,"(239760,)",48000,4.995,test.clean,260,123440,260_123440_0020,WE WON'T TALK ABOUT HER ANY MORE IF YOU'D RATHER NOT WE INDEED,3,0.3
./dataset/3_1320_122617_0007.wav,"(889199,)",48000,18.525,test.clean,1320,122617,1320_122617_0007,COME COME RETURNED HAWKEYE UNCASING HIS HONEST COUNTENANCE THE BETTER TO ASSURE THE WAVERING CONFIDENCE OF HIS COMPANION YOU MAY SEE A SKIN WHICH IF IT BE NOT AS WHITE AS ONE OF THE GENTLE ONES HAS NO TINGE OF RED TO IT THAT THE WINDS OF THE HEAVEN AND THE SUN HAVE NOT BESTOWED NOW LET US TO BUSINESS,3,0.3
./dataset/3_6930_76324_0010.wav,"(129120,)",48000,2.69,test.clean,6930,76324,6930_76324_0010,WHAT IN THE WORLD IS THAT QUERIED JOYCE,3,0.3
