5442_41168_000000_000000	Chapter 28	Chapter twenty eight	false	3.15	28.75	20.05687
5442_41168_000001_000000	Levin was standing rather far off.	Levin was standing rather far off.	true	30.83	33.25	23.201752
5442_41168_000001_000001	A nobleman breathing heavily and hoarsely at his side, and another whose thick boots were creaking, prevented him from hearing distinctly.	A nobleman breathing heavily and hoarsely at his side, and another whose thick boots were creaking, prevented him from hearing distinctly.	false	33.53	42.1	19.608965
5442_41168_000001_000002	He could only hear the soft voice of the marshal faintly, then the shrill voice of the malignant gentleman, and then the voice of Sviazhsky.	He could only hear the soft voice of the marshal faintly, then the shrill voice of the malignant gentleman, and then the voice of Sviazhsky.	false	42.65	51.61	17.106485
5442_41168_000001_000003	They were disputing, as far as he could make out, as to the interpretation to be put on the act and the exact meaning of the words: "liable to be called up for trial."	They were disputing, as far as he could make out, as to the interpretation to be put on the act and the exact meaning of the words: "liable to be called up for trial."	true	52.31	62.8	21.339048
5442_41168_000002_000000	The crowd parted to make way for Sergey Ivanovitch approaching the table.	The crowd parted to make way for Sergey Ivanovitch approaching the table.	true	63.95	68.62	21.544306
5442_41168_000002_000001	Sergey Ivanovitch, waiting till the malignant gentleman had finished speaking, said that he thought the best solution would be to refer to the act itself, and asked the secretary to find the act.	Sergey Ivanovitch, waiting till the malignant gentleman had finished speaking, said that he thought the best solution would be to refer to the act itself, and asked the secretary to find the act.	true	69.56	82.39	19.75275
5442_41168_000002_000002	The act said that in case of difference of opinion, there must be a ballot.	The act said that in case of difference of opinion, there must be a ballot.	false	82.79	88.56	22.335524
5442_41168_000003_000000	Sergey Ivanovitch read the act and began to explain its meaning, but at that point a tall, stout, round-shouldered landowner, with dyed whiskers, in a tight uniform that cut the back of his neck, interrupted him.	Sergey Ivanovitch read the act and began to explain its meaning, but at that point a tall, stout, round shouldered landowner, with dyed whiskers, in a tight uniform that cut the back of his neck, interrupted him.	true	88.56	102.55	20.987823
5442_41168_000003_000001	He went up to the table, and striking it with his finger ring, he shouted loudly: "A ballot!	He went up to the table, and striking it with his finger ring, he shouted loudly: "A ballot!	false	103.13	109.8	21.574642
5442_41168_000003_000002	Put it to the vote!	Put it to the vote!	true	109.8	110.835	20.136969
5442_41168_000003_000003	No need for more talking!"	No need for more talking!"	true	110.835	112.42	17.854229
5442_41168_000003_000004	Then several voices began to talk all at once, and the tall nobleman with the ring, getting more and more exasperated, shouted more and more loudly.	Then several voices began to talk all at once, and the tall nobleman with the ring, getting more and more exasperated, shouted more and more loudly.	true	113.06	122.95	19.537125
5442_41168_000003_000005	But it was impossible to make out what he said.	But it was impossible to make out what he said.	false	123.35	126.04	19.643972
5442_41168_000004_000000	He was shouting for the very course Sergey Ivanovitch had proposed; but it was evident that he hated him and all his party, and this feeling of hatred spread through the whole party and roused in opposition to it the same vindictiveness, though in a more seemly form, on the other side. Shouts were raised, and for a moment all was confusion, so that the marshal of the province had to call for order.	He was shouting for the very course Sergey Ivanovitch had proposed; but it was evident that he hated him and all his party, and this feeling of hatred spread through the whole party and roused in opposition to it the same vindictiveness, though in a more seemly form, on the other side. Shouts were raised, and for a moment all was confusion, so that the marshal of the province had to call for order.	false	127.19	154.18	19.675123
5442_41168_000005_000000	"A ballot!	"A ballot!	true	155.09	155.97	23.782621
5442_41168_000005_000001	A ballot!	A ballot!	true	155.97	156.79	23.965696
5442_41168_000005_000002	Every nobleman sees it!	Every nobleman sees it!	true	156.86	158.53	19.725376
5442_41168_000005_000003	We shed our blood for our country!...	We shed our blood for our country!...	true	158.66	160.78	19.668991
5442_41168_000005_000004	The confidence of the monarch....	The confidence of the monarch....	true	160.97	162.82	18.730095
5442_41168_000005_000005	No checking the accounts of the marshal; he's not a cashier....	No checking the accounts of the marshal; he's not a cashier....	true	162.89	166.57	20.663673
5442_41168_000005_000006	But that's not the point.... Votes, please!	But that's not the point.... Votes, please!	true	166.94	169.72	21.97587
5442_41168_000005_000007	Beastly!..." shouted furious and violent voices on all sides.	Beastly!..." shouted furious and violent voices on all sides.	true	169.91	174.91	19.118713
5442_41168_000005_000008	Looks and faces were even more violent and furious than their words.	Looks and faces were even more violent and furious than their words.	true	175.19	179.56	19.648243
5442_41168_000005_000009	They expressed the most implacable hatred.	They expressed the most implacable hatred.	true	180.02	182.8	23.669138
5442_41168_000005_000010	Levin did not in the least understand what was the matter, and he marveled at the passion with which it was disputed whether or not the decision about Flerov should be put to the vote.	Levin did not in the least understand what was the matter, and he marveled at the passion with which it was disputed whether or not the decision about Flerov should be put to the vote.	false	183.29	194.68	21.030191
