4852_28319_000000_000000	CHAPTER 10	CHAPTER ten	false	0.6	9.93	21.740099
4852_28319_000001_000000	The learning of magic was by no means easy.	The learning of magic was by no means easy.	false	9.93	16.42	19.859697
4852_28319_000001_000001	The days went by with Chris's mornings and afternoons spent in Mr. Wicker's study, reading books too heavy for him to lift, learning incantations by heart, and how to blend simple formulae over the fire.	The days went by with Chris's mornings and afternoons spent in mr Wicker's study, reading books too heavy for him to lift, learning incantations by heart, and how to blend simple formulae over the fire.	false	16.46	28.35	16
4852_28319_000001_000002	He had told his master at once about Simon Gosler, his horde of money and his hiding places for it.	He had told his master at once about Simon Gosler, his horde of money and his hiding places for it.	false	28.35	34.63	20.758202
4852_28319_000001_000003	Mr. Wicker though interested and attentive, gave Chris the impression that what he had been told was not new to him.	mr Wicker though interested and attentive, gave Chris the impression that what he had been told was not new to him.	false	34.7	40.5	16
4852_28319_000001_000004	At times Chris was allowed to run about the large vegetable garden and climb the orchard trees, but he was told that the moment had not yet come when he could wander at will in early Georgetown.	At times Chris was allowed to run about the large vegetable garden and climb the orchard trees, but he was told that the moment had not yet come when he could wander at will in early Georgetown.	false	40.5	50.23	19
4852_28319_000002_000000	Chris had tried it once, rebellious and bored at the now familiar ground, but it was as if an invisible wall kept him in the confines of Mr. Wicker's land, a slippery glass wall he could feel but not see, and in which he could discover no chink in which to put his toe to find the height of it.	Chris had tried it once, rebellious and bored at the now familiar ground, but it was as if an invisible wall kept him in the confines of mr Wicker's land, a slippery glass wall he could feel but not see, and in which he could discover no chink in which to put his toe to find the height of it.	false	50.57	66.55	18
4852_28319_000002_000001	So there was nothing left to do but to work as fast and as well as he could.	So there was nothing left to do but to work as fast and as well as he could.	false	66.83	70.45	21.141117
4852_28319_000002_000002	"There are rumors," Mr. Wicker had told him quietly, too quietly, "that Claggett Chew is preparing his ship, the _Venture_, for a voyage East.	"There are rumors," mr Wicker had told him quietly, too quietly, "that Claggett Chew is preparing his ship, the underscore Venture underscore, for a voyage East.	false	70.76	77.805	20.70049
4852_28319_000002_000003	There is much activity about his ship, and he is laying in stores, so I am informed.	There is much activity about his ship, and he is laying in stores, so I am informed.	false	77.805	82.74	20.505732
4852_28319_000002_000004	We must get forward with all haste, for his ship is a fast one--faster than the _Mirabelle_."	We must get forward with all haste, for his ship is a fast one-faster than the underscore Mirabelle underscore."	false	82.74	89.1	19.884432
