3997_180294_000000_000000	"Shall I lock the door?"	"Shall I lock the door?"	false	9.15	14.52	24.153116
3997_180294_000001_000000	"I should think so!	"I should think so!	false	14.52	16.32	33.110188
3997_180294_000001_000001	And above all, tell them not to admit anybody before midday."	And above all, tell them not to admit anybody before midday."	false	16.32	24.015	24.332333
3997_180294_000002_000000	Chapter 12	Chapter twelve	true	24.015	25.17	28.01304
3997_180294_000003_000000	At five o'clock in the morning, as the light began to appear through the curtains, Marguerite said to me: "Forgive me if I send you away; but I must.	At five o'clock in the morning, as the light began to appear through the curtains, Marguerite said to me: "Forgive me if I send you away; but I must.	false	25.17	38.71	24.97595
3997_180294_000003_000001	The duke comes every morning; they will tell him, when he comes, that I am asleep, and perhaps he will wait until I wake."	The duke comes every morning; they will tell him, when he comes, that I am asleep, and perhaps he will wait until I wake."	true	38.81	46.845	22.561495
3997_180294_000004_000000	I took Marguerite's head in my hands; her loosened hair streamed about her; I gave her a last kiss, saying: "When shall I see you again?"	I took Marguerite's head in my hands; her loosened hair streamed about her; I gave her a last kiss, saying: "When shall I see you again?"	false	46.845	56.47	23.784302
3997_180294_000005_000000	"Listen," she said; "take the little gilt key on the mantelpiece, open that door; bring me back the key and go.	"Listen," she said; "take the little gilt key on the mantelpiece, open that door; bring me back the key and go.	true	57.02	65.79	27.408743
3997_180294_000005_000001	In the course of the day you shall have a letter, and my orders, for you know you are to obey blindly."	In the course of the day you shall have a letter, and my orders, for you know you are to obey blindly."	false	65.79	72.52	23.155798
3997_180294_000006_000000	"Yes; but if I should already ask for something?"	"Yes; but if I should already ask for something?"	true	73.25	77.08	23.039251
3997_180294_000007_000000	"What?"	"What?"	true	77.54	78.25	36.828003
3997_180294_000008_000000	"Let me have that key."	"Let me have that key."	true	78.89	80.74	23.431961
3997_180294_000009_000000	"What you ask is a thing I have never done for any one."	"What you ask is a thing I have never done for any one."	false	81.5	85.45	24.566008
3997_180294_000010_000000	"Well, do it for me, for I swear to you that I don't love you as the others have loved you."	"Well, do it for me, for I swear to you that I don't love you as the others have loved you."	true	86.09	91.9	24.38862
