6070_86745_000000_000001	The Guests.	The Guests.
6070_86745_000001_000002	Two windows only of the pavilion faced the street; three other windows looked into the court, and two at the back into the garden.	Two windows only of the pavilion faced the street; three other windows looked into the court, and two at the back into the garden.
6070_86745_000002_000003	It was a little entrance that seemed never to have been opened since the house was built, so entirely was it covered with dust and dirt; but the well-oiled hinges and locks told quite another story.	It was a little entrance that seemed never to have been opened since the house was built, so entirely was it covered with dust and dirt; but the well oiled hinges and locks told quite another story.
6070_86745_000002_000005	At the end of a long corridor, with which the door communicated, and which formed the ante-chamber, was, on the right, Albert's breakfast-room, looking into the court, and on the left the salon, looking into the garden.	At the end of a long corridor, with which the door communicated, and which formed the ante chamber, was, on the right, Albert's breakfast room, looking into the court, and on the left the salon, looking into the garden.
6070_86745_000002_000006	Shrubs and creeping plants covered the windows, and hid from the garden and court these two apartments, the only rooms into which, as they were on the ground-floor, the prying eyes of the curious could penetrate.	Shrubs and creeping plants covered the windows, and hid from the garden and court these two apartments, the only rooms into which, as they were on the ground floor, the prying eyes of the curious could penetrate.
6070_86745_000002_000007	On the floor above were similar rooms, with the addition of a third, formed out of the ante-chamber; these three rooms were a salon, a boudoir, and a bedroom.	On the floor above were similar rooms, with the addition of a third, formed out of the ante chamber; these three rooms were a salon, a boudoir, and a bedroom.
6070_86745_000002_000008	The salon down-stairs was only an Algerian divan, for the use of smokers.	The salon down stairs was only an Algerian divan, for the use of smokers.
6070_86745_000002_000013	What these stuffs did there, it was impossible to say; they awaited, while gratifying the eyes, a destination unknown to their owner himself; in the meantime they filled the place with their golden and silky reflections.	What these stuffs did there, it was impossible to say; they awaited, while gratifying the eyes, a destination unknown to their owner himself; in the meantime they filled the place with their golden and silky reflections.
6070_86745_000002_000015	On the walls, over the doors, on the ceiling, were swords, daggers, Malay creeses, maces, battle-axes; gilded, damasked, and inlaid suits of armor; dried plants, minerals, and stuffed birds, their flame-colored wings outspread in motionless flight, and their beaks forever open.	On the walls, over the doors, on the ceiling, were swords, daggers, Malay creeses, maces, battle axes; gilded, damasked, and inlaid suits of armor; dried plants, minerals, and stuffed birds, their flame colored wings outspread in motionless flight, and their beaks forever open.
6070_86745_000002_000016	This was Albert's favorite lounging place.	This was Albert's favorite lounging place.
6070_86745_000003_000000	However, the morning of the appointment, the young man had established himself in the small salon down-stairs.	However, the morning of the appointment, the young man had established himself in the small salon down stairs.
