5442_41168_000001_000000	Levin was standing rather far off.	Levin was standing rather far off.
5442_41168_000001_000003	They were disputing, as far as he could make out, as to the interpretation to be put on the act and the exact meaning of the words: "liable to be called up for trial."	They were disputing, as far as he could make out, as to the interpretation to be put on the act and the exact meaning of the words: "liable to be called up for trial."
5442_41168_000002_000000	The crowd parted to make way for Sergey Ivanovitch approaching the table.	The crowd parted to make way for Sergey Ivanovitch approaching the table.
5442_41168_000002_000001	Sergey Ivanovitch, waiting till the malignant gentleman had finished speaking, said that he thought the best solution would be to refer to the act itself, and asked the secretary to find the act.	Sergey Ivanovitch, waiting till the malignant gentleman had finished speaking, said that he thought the best solution would be to refer to the act itself, and asked the secretary to find the act.
5442_41168_000003_000000	Sergey Ivanovitch read the act and began to explain its meaning, but at that point a tall, stout, round-shouldered landowner, with dyed whiskers, in a tight uniform that cut the back of his neck, interrupted him.	Sergey Ivanovitch read the act and began to explain its meaning, but at that point a tall, stout, round shouldered landowner, with dyed whiskers, in a tight uniform that cut the back of his neck, interrupted him.
5442_41168_000003_000002	Put it to the vote!	Put it to the vote!
5442_41168_000003_000003	No need for more talking!"	No need for more talking!"
5442_41168_000003_000004	Then several voices began to talk all at once, and the tall nobleman with the ring, getting more and more exasperated, shouted more and more loudly.	Then several voices began to talk all at once, and the tall nobleman with the ring, getting more and more exasperated, shouted more and more loudly.
5442_41168_000005_000000	"A ballot!	"A ballot!
5442_41168_000005_000001	A ballot!	A ballot!
5442_41168_000005_000002	Every nobleman sees it!	Every nobleman sees it!
5442_41168_000005_000003	We shed our blood for our country!...	We shed our blood for our country!...
5442_41168_000005_000004	The confidence of the monarch....	The confidence of the monarch....
5442_41168_000005_000005	No checking the accounts of the marshal; he's not a cashier....	No checking the accounts of the marshal; he's not a cashier....
5442_41168_000005_000006	But that's not the point.... Votes, please!	But that's not the point.... Votes, please!
5442_41168_000005_000007	Beastly!..." shouted furious and violent voices on all sides.	Beastly!..." shouted furious and violent voices on all sides.
5442_41168_000005_000008	Looks and faces were even more violent and furious than their words.	Looks and faces were even more violent and furious than their words.
5442_41168_000005_000009	They expressed the most implacable hatred.	They expressed the most implacable hatred.
