3538_163619_000000_000000	(27) From J. Moe.	(twenty seven) From j Moe.	false	8.07	18.855	20.76197
3538_163619_000001_000000	BUSHY BRIDE	BUSHY BRIDE	true	18.855	19.84	17.161295
3538_163619_000002_000000	THERE was once on a time a widower who had a son and a daughter by his first wife.	THERE was once on a time a widower who had a son and a daughter by his first wife.	false	20.99	25.54	20
3538_163619_000002_000001	They were both good children, and loved each other with all their hearts.	They were both good children, and loved each other with all their hearts.	true	25.64	28.96	21.614704
3538_163619_000002_000002	After some time had gone by the man married again, and he chose a widow with one daughter who was ugly and wicked, and her mother was ugly and wicked too.	After some time had gone by the man married again, and he chose a widow with one daughter who was ugly and wicked, and her mother was ugly and wicked too.	true	29.33	38.14	20
3538_163619_000002_000003	From the very day that the new wife came into the house there was no peace for the man's children, and not a corner to be found where they could get any rest; so the boy thought that the best thing he could do was to go out into the world and try to earn his own bread.	From the very day that the new wife came into the house there was no peace for the man's children, and not a corner to be found where they could get any rest; so the boy thought that the best thing he could do was to go out into the world and try to earn his own bread.	false	38.78	52.36	21.931503
3538_163619_000003_000000	When he had roamed about for some time he came to the King's palace, where he obtained a place under the coachman; and very brisk and active he was, and the horses that he looked after were so fat and sleek, that they shone again.	When he had roamed about for some time he came to the King's palace, where he obtained a place under the coachman; and very brisk and active he was, and the horses that he looked after were so fat and sleek, that they shone again.	false	53.9	66.07	24.51211
3538_163619_000004_000000	But his sister, who was still at home, fared worse and worse.	But his sister, who was still at home, fared worse and worse.	true	66.74	70.15	20.671227
3538_163619_000004_000001	Both her step-mother and her step-sister were always finding fault with her, whatsoever she did and whithersoever she went, and they scolded her and abused her so that she never had an hour's peace.	Both her step mother and her step sister were always finding fault with her, whatsoever she did and whithersoever she went, and they scolded her and abused her so that she never had an hour's peace.	true	70.4	82.39	20.65488
3538_163619_000004_000002	They made her do all the hard work, and hard words fell to her lot early and late, but little enough food accompanied them.	They made her do all the hard work, and hard words fell to her lot early and late, but little enough food accompanied them.	true	82.88	89.89	20.34121
3538_163619_000005_000000	One day they sent her to the brook to fetch some water home, and an ugly and horrible head rose up out of the water, and said, 'Wash me, girl!'	One day they sent her to the brook to fetch some water home, and an ugly and horrible head rose up out of the water, and said, 'Wash me, girl!'	true	90.92	100.36	20.090813
3538_163619_000006_000000	'Yes, I will wash you with pleasure,' said the girl, and began to wash and scrub the ugly face, but she couldn't help thinking that it was a very unpleasant piece of work.	'Yes, I will wash you with pleasure,' said the girl, and began to wash and scrub the ugly face, but she couldn't help thinking that it was a very unpleasant piece of work.	false	101.03	111.01	21.7974
3538_163619_000006_000001	When she had done it, and done it well, another head rose up out of the water, and this one was uglier still.	When she had done it, and done it well, another head rose up out of the water, and this one was uglier still.	false	111.8	117.82	20.466871
3538_163619_000007_000000	'Brush me, girl!' said the head.	'Brush me, girl!' said the head.	true	118.37	120.87	23.822939
3538_163619_000008_000000	'Yes, I will brush you with pleasure,' said the girl, and set to work with the tangled hair, and, as may be easily imagined, this too was by no means pleasant work.	'Yes, I will brush you with pleasure,' said the girl, and set to work with the tangled hair, and, as may be easily imagined, this too was by no means pleasant work.	false	120.87	132.22	23.081675
3538_163619_000009_000000	When she had got it done, another and a much more ugly and horrible-looking head rose up out of the water.	When she had got it done, another and a much more ugly and horrible looking head rose up out of the water.	false	133.52	139.78	21
