5442_41169_000000_000000	Chapter 29	Chapter twenty nine	false	1.44	12.855	16.863462
5442_41169_000001_000000	The narrow room, in which they were smoking and taking refreshments, was full of noblemen.	The narrow room, in which they were smoking and taking refreshments, was full of noblemen.	false	12.855	33.52	17.240168
5442_41169_000001_000001	The excitement grew more intense, and every face betrayed some uneasiness.	The excitement grew more intense, and every face betrayed some uneasiness.	true	33.95	38.86	17.615644
5442_41169_000001_000002	The excitement was specially keen for the leaders of each party, who knew every detail, and had reckoned up every vote.	The excitement was specially keen for the leaders of each party, who knew every detail, and had reckoned up every vote.	false	39.53	46.9	16.927116
5442_41169_000001_000003	They were the generals organizing the approaching battle.	They were the generals organizing the approaching battle.	true	47.63	51.16	12
5442_41169_000001_000004	The rest, like the rank and file before an engagement, though they were getting ready for the fight, sought for other distractions in the interval.	The rest, like the rank and file before an engagement, though they were getting ready for the fight, sought for other distractions in the interval.	true	51.98	60.61	16.678654
5442_41169_000001_000005	Some were lunching, standing at the bar, or sitting at the table; others were walking up and down the long room, smoking cigarettes, and talking with friends whom they had not seen for a long while.	Some were lunching, standing at the bar, or sitting at the table; others were walking up and down the long room, smoking cigarettes, and talking with friends whom they had not seen for a long while.	false	61.55	74.37	17.142336
5442_41169_000002_000000	Levin did not care to eat, and he was not smoking; he did not want to join his own friends, that is Sergey Ivanovitch, Stepan Arkadyevitch, Sviazhsky and the rest, because Vronsky in his equerry's uniform was standing with them in eager conversation.	Levin did not care to eat, and he was not smoking; he did not want to join his own friends, that is Sergey Ivanovitch, Stepan Arkadyevitch, Sviazhsky and the rest, because Vronsky in his equerry's uniform was standing with them in eager conversation.	false	74.37	91.81	17.271854
5442_41169_000002_000001	Levin had seen him already at the meeting on the previous day, and he had studiously avoided him, not caring to greet him.	Levin had seen him already at the meeting on the previous day, and he had studiously avoided him, not caring to greet him.	true	92.9	101.08	17.302713
5442_41169_000002_000002	He went to the window and sat down, scanning the groups, and listening to what was being said around him.	He went to the window and sat down, scanning the groups, and listening to what was being said around him.	true	101.45	107.77	16.070194
5442_41169_000002_000003	He felt depressed, especially because everyone else was, as he saw, eager, anxious, and interested, and he alone, with an old, toothless little man with mumbling lips wearing a naval uniform, sitting beside him, had no interest in it and nothing to do.	He felt depressed, especially because everyone else was, as he saw, eager, anxious, and interested, and he alone, with an old, toothless little man with mumbling lips wearing a naval uniform, sitting beside him, had no interest in it and nothing to do.	false	108.23	127.51	17.885609
5442_41169_000003_000000	"He's such a blackguard!	"He's such a blackguard!	true	128.48	130.09	19.20739
5442_41169_000003_000001	I have told him so, but it makes no difference. Only think of it!	I have told him so, but it makes no difference. Only think of it!	true	130.28	134.95	18.738409
