2033_164914_000003_000000	When it was the Seventy-second Night,	When it was the Seventy second Night,
2033_164914_000004_000002	Thou must know who it was, seeing that thou art awake." The Fireman feared for Zau al- Makan and said in himself, "Haply the Eunuch will do him some hurt"; so he answered, "By Allah, I know not who it was." Said the Eunuch, "By Allah, thou liest, for there is none on wake here but thou!	Thou must know who it was, seeing that thou art awake." The Fireman feared for Zau al Makan and said in himself, "Haply the Eunuch will do him some hurt"; so he answered, "By Allah, I know not who it was." Said the Eunuch, "By Allah, thou liest, for there is none on wake here but thou!
2033_164914_000008_000002	He who recited the first time hath recited a second time and I heard him hard by.	He who recited the first time hath recited a second time and I heard him hard by.
2033_164914_000008_000005	If he refuse, hand to him this purse of a thousand diners, then leave him and return to me and tell me, after thou hast informed thyself of his place and his calling and what countryman he is.	If he refuse, hand to him this purse of a thousand diners, then leave him and return to me and tell me, after thou hast informed thyself of his place and his calling and what countryman he is.
2033_164914_000008_000006	Return quickly and linger not."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Return quickly and linger not."--And Shahrazad perceived the dawn of day and ceased saying her permitted say.
2033_164914_000010_000004	Thou wottest none can stir from his place, except the watchman seize him.	Thou wottest none can stir from his place, except the watchman seize him.
2033_164914_000010_000007	If thou fear no one, I fear for thee and for my life, so Allah upon thee! recite nothing more of verses till thou come to thine own land.	If thou fear no one, I fear for thee and for my life, so Allah upon thee! recite nothing more of verses till thou come to thine own land.
2033_164914_000010_000008	Indeed, I had not deemed thee so ill conditioned.	Indeed, I had not deemed thee so ill conditioned.
2033_164914_000010_000009	Dost thou not know that this lady is the wife; of the Chamberlain and is minded to chastise thee for disturbing her?	Dost thou not know that this lady is the wife; of the Chamberlain and is minded to chastise thee for disturbing her?
2033_164914_000012_000001	Then said the Eunuch to Zau al-Makan, "Peace be with thee, O my lord!"	Then said the Eunuch to Zau al Makan, "Peace be with thee, O my lord!"
2033_164914_000013_000000	When it was the Seventy-fourth Night,	When it was the Seventy fourth Night,
2033_164914_000014_000002	So the Castrato began to speak him fair and say to him, "O my lord, take this purse and go with me.	So the Castrato began to speak him fair and say to him, "O my lord, take this purse and go with me.
